,date,hr_dec,perc_cloud
0,20240701,11.5,0.0
1,20250101,19.0,0.0
2,20250101,23.5,0.0
3,20250103,23.5,0.0
4,20250105,23.5,0.0
5,20250107,23.5,0.0
6,20250108,17.5,0.0
7,20250109,23.5,0.0
8,20250110,17.5,0.0
9,20250110,19.5,0.0
10,20250111,23.5,0.0
11,20250112,17.5,0.0
12,20250116,17.5,0.0
13,20250117,23.5,0.0
14,20250121,18.75,0.0
15,20250121,23.5,0.0
16,20250122,17.5,0.0
17,20250123,23.5,0.0
18,20250124,17.5,0.0
19,20250125,23.75,0.0
20,20250127,19.25,0.0
21,20250128,17.5,0.0
22,20250131,23.5,0.0
23,20250212,23.5,0.0
24,20250213,17.5,0.0
25,20250216,19.5,0.0
26,20250216,23.5,0.0
27,20250220,23.25,0.0
28,20250227,17.5,0.0
29,20250227,19.5,0.0
30,20250305,17.5,0.0
31,20250305,19.25,0.0
32,20250307,17.5,0.0
33,20250309,15.0,0.0
34,20250309,17.5,0.0
35,20250310,19.25,0.0
36,20250310,23.5,0.0
37,20250421,16.0,0.0
38,20250501,11.5,0.0
39,20250501,16.0,0.0
40,20250503,11.5,0.0
41,20250503,23.5,0.0
42,20250505,23.5,0.0
43,20250507,11.5,0.0
44,20250509,11.5,0.0
45,20250509,23.5,0.0
46,20250519,11.5,0.0
47,20250523,11.5,0.0
48,20250530,16.0,0.0
49,20250531,11.5,0.0
50,20250612,11.5,0.0
51,20250624,11.5,0.0
52,20250626,11.5,0.0
53,20250628,11.25,0.0
54,20250630,23.5,0.0
55,20250708,23.5,0.0
56,20250710,11.25,0.0
57,20250718,11.5,0.0
58,20250720,11.5,0.0
59,20250722,11.5,0.0
60,20250724,23.5,0.0
61,20250726,11.5,0.0
62,20250728,11.5,0.0
63,20250730,11.5,0.0
64,20250801,11.5,0.0
65,20250902,23.5,0.0
66,20250924,23.5,0.0
67,20250927,16.25,0.0
68,20251011,16.5,0.0
69,20251015,17.5,0.0
70,20251016,16.5,0.0
71,20251019,17.5,0.0
72,20251020,19.25,0.0
73,20251020,23.5,0.0
74,20251021,17.5,0.0
75,20251022,23.5,0.0
76,20251028,23.5,0.0
77,20251030,19.5,0.0
78,20251102,17.5,0.0
79,20251105,16.25,0.0
80,20251105,19.25,0.0
81,20251106,17.5,0.0
82,20251108,17.5,0.0
83,20251112,17.5,0.0
84,20251115,19.5,0.0
85,20251116,17.5,0.0
86,20251118,17.5,0.0
87,20251127,20.25,0.0
88,20251202,17.5,0.0
89,20251206,17.5,0.0
90,20251208,17.5,0.0
91,20251210,17.5,0.0
92,20251214,16.0,0.0
93,20251215,23.5,0.0
94,20251218,16.25,0.0
95,20251222,17.5,0.0
96,20251223,19.25,0.0
97,20251226,17.5,0.0
98,20251227,23.5,0.0
99,20251229,19.25,0.0
100,20251229,23.5,0.0
101,20251230,17.5,0.0
102,20251231,23.5,0.0
